date,close,volume,symbol,resolved_symbol,provider
2024-01-02,277.6438293457031,3374900,AMGN,AMGN,yfinance
2024-01-03,280.7247314453125,2771500,AMGN,AMGN,yfinance
2024-01-04,283.0400085449219,3357900,AMGN,AMGN,yfinance
2024-01-05,282.88128662109375,1874400,AMGN,AMGN,yfinance
2024-01-08,290.2381591796875,3467700,AMGN,AMGN,yfinance
2024-01-09,286.85845947265625,2603700,AMGN,AMGN,yfinance
2024-01-10,284.3470764160156,2210900,AMGN,AMGN,yfinance
2024-01-11,282.97467041015625,2137100,AMGN,AMGN,yfinance
2024-01-12,286.15826416015625,1567900,AMGN,AMGN,yfinance
2024-01-16,283.3294677734375,1996300,AMGN,AMGN,yfinance
2024-01-17,283.88958740234375,2210400,AMGN,AMGN,yfinance
2024-01-18,284.2723693847656,2357000,AMGN,AMGN,yfinance
2024-01-19,287.3719482421875,2566500,AMGN,AMGN,yfinance
2024-01-22,289.5658874511719,2599900,AMGN,AMGN,yfinance
2024-01-23,289.33251953125,1775400,AMGN,AMGN,yfinance
2024-01-24,285.21533203125,1954200,AMGN,AMGN,yfinance
2024-01-25,289.65924072265625,2005400,AMGN,AMGN,yfinance
2024-01-26,291.0690002441406,2035800,AMGN,AMGN,yfinance
2024-01-29,292.637451171875,2447600,AMGN,AMGN,yfinance
2024-01-30,293.729736328125,2637000,AMGN,AMGN,yfinance
2024-01-31,293.3937072753906,3456700,AMGN,AMGN,yfinance
2024-02-01,303.0097351074219,3883200,AMGN,AMGN,yfinance
2024-02-02,301.73077392578125,2585900,AMGN,AMGN,yfinance
2024-02-05,300.59173583984375,3563300,AMGN,AMGN,yfinance
2024-02-06,295.0835266113281,5767400,AMGN,AMGN,yfinance
2024-02-07,276.2247314453125,8411300,AMGN,AMGN,yfinance
2024-02-08,275.2724914550781,5946100,AMGN,AMGN,yfinance
2024-02-09,271.7901611328125,3341100,AMGN,AMGN,yfinance
2024-02-12,274.88037109375,3298500,AMGN,AMGN,yfinance
2024-02-13,271.1926574707031,3610100,AMGN,AMGN,yfinance
2024-02-14,270.8099060058594,2617300,AMGN,AMGN,yfinance
2024-02-15,271.9859924316406,2902000,AMGN,AMGN,yfinance
2024-02-16,266.9333801269531,3596800,AMGN,AMGN,yfinance
2024-02-20,266.75457763671875,3402000,AMGN,AMGN,yfinance
2024-02-21,266.70751953125,1934300,AMGN,AMGN,yfinance
2024-02-22,268.3258972167969,2992700,AMGN,AMGN,yfinance
2024-02-23,272.0894470214844,2462400,AMGN,AMGN,yfinance
2024-02-26,269.445556640625,2448900,AMGN,AMGN,yfinance
2024-02-27,262.03125,3353700,AMGN,AMGN,yfinance
2024-02-28,261.0621337890625,3027000,AMGN,AMGN,yfinance
2024-02-29,257.6466369628906,5863400,AMGN,AMGN,yfinance
2024-03-01,263.76251220703125,3772700,AMGN,AMGN,yfinance
2024-03-04,262.8780517578125,2470300,AMGN,AMGN,yfinance
2024-03-05,260.29998779296875,3064000,AMGN,AMGN,yfinance
2024-03-06,260.24359130859375,2240200,AMGN,AMGN,yfinance
2024-03-07,256.7340087890625,4066300,AMGN,AMGN,yfinance
2024-03-08,257.5714111328125,2251100,AMGN,AMGN,yfinance
2024-03-11,259.0862731933594,1851000,AMGN,AMGN,yfinance
2024-03-12,260.1965026855469,1738700,AMGN,AMGN,yfinance
2024-03-13,259.67901611328125,1641000,AMGN,AMGN,yfinance
2024-03-14,255.4919891357422,2370500,AMGN,AMGN,yfinance
2024-03-15,252.9797821044922,8795800,AMGN,AMGN,yfinance
2024-03-18,254.88980102539062,3608300,AMGN,AMGN,yfinance
2024-03-19,255.67074584960938,3037500,AMGN,AMGN,yfinance
2024-03-20,256.9127502441406,2564500,AMGN,AMGN,yfinance
2024-03-21,260.5823059082031,2489400,AMGN,AMGN,yfinance
2024-03-22,259.8484191894531,2303100,AMGN,AMGN,yfinance
2024-03-25,264.22357177734375,2954400,AMGN,AMGN,yfinance
2024-03-26,265.1174011230469,3343000,AMGN,AMGN,yfinance
2024-03-27,269.37969970703125,2256300,AMGN,AMGN,yfinance
2024-03-28,267.5167541503906,2289900,AMGN,AMGN,yfinance
2024-04-01,266.3124084472656,1868600,AMGN,AMGN,yfinance
2024-04-02,259.8860168457031,2220500,AMGN,AMGN,yfinance
2024-04-03,258.2018127441406,1669200,AMGN,AMGN,yfinance
2024-04-04,252.24591064453125,2451200,AMGN,AMGN,yfinance
2024-04-05,253.99600219726562,2293800,AMGN,AMGN,yfinance
2024-04-08,253.2903289794922,1830800,AMGN,AMGN,yfinance
2024-04-09,254.38168334960938,1792600,AMGN,AMGN,yfinance
2024-04-10,250.70281982421875,1949500,AMGN,AMGN,yfinance
2024-04-11,254.0430450439453,2169600,AMGN,AMGN,yfinance
2024-04-12,251.4837646484375,2140100,AMGN,AMGN,yfinance
2024-04-15,249.81838989257812,1740000,AMGN,AMGN,yfinance
2024-04-16,249.9407196044922,2017600,AMGN,AMGN,yfinance
2024-04-17,248.4635009765625,2175100,AMGN,AMGN,yfinance
2024-04-18,247.22149658203125,2082700,AMGN,AMGN,yfinance
2024-04-19,253.03627014160156,3380100,AMGN,AMGN,yfinance
2024-04-22,255.840087890625,2165800,AMGN,AMGN,yfinance
2024-04-23,257.37384033203125,2493300,AMGN,AMGN,yfinance
2024-04-24,256.8751220703125,2467100,AMGN,AMGN,yfinance
2024-04-25,253.45965576171875,1794000,AMGN,AMGN,yfinance
2024-04-26,254.0242156982422,2436900,AMGN,AMGN,yfinance
2024-04-29,260.04595947265625,2678900,AMGN,AMGN,yfinance
2024-04-30,257.75018310546875,2477300,AMGN,AMGN,yfinance
2024-05-01,260.97747802734375,2323700,AMGN,AMGN,yfinance
2024-05-02,261.9371643066406,3177500,AMGN,AMGN,yfinance
2024-05-03,292.8927917480469,9644700,AMGN,AMGN,yfinance
2024-05-06,281.7807312011719,4717600,AMGN,AMGN,yfinance
2024-05-07,282.5522766113281,2452100,AMGN,AMGN,yfinance
2024-05-08,289.1479797363281,2859600,AMGN,AMGN,yfinance
2024-05-09,294.3699645996094,2921300,AMGN,AMGN,yfinance
2024-05-10,291.8201904296875,2611800,AMGN,AMGN,yfinance
2024-05-13,290.22064208984375,1558500,AMGN,AMGN,yfinance
2024-05-14,293.0057067871094,1631100,AMGN,AMGN,yfinance
2024-05-15,300.1847229003906,3466000,AMGN,AMGN,yfinance
2024-05-16,298.2232666015625,2367800,AMGN,AMGN,yfinance
2024-05-17,296.0912170410156,1974200,AMGN,AMGN,yfinance
2024-05-20,298.0527038574219,1394600,AMGN,AMGN,yfinance
2024-05-21,298.3464660644531,1705900,AMGN,AMGN,yfinance
2024-05-22,293.1916198730469,2849100,AMGN,AMGN,yfinance
2024-05-23,290.43414306640625,2139700,AMGN,AMGN,yfinance
2024-05-24,289.8086853027344,2425800,AMGN,AMGN,yfinance
2024-05-28,284.45489501953125,2636700,AMGN,AMGN,yfinance
2024-05-29,280.8351745605469,2475900,AMGN,AMGN,yfinance
2024-05-30,285.2223815917969,2727100,AMGN,AMGN,yfinance
2024-05-31,289.8182067871094,4488900,AMGN,AMGN,yfinance
2024-06-03,291.30596923828125,2447400,AMGN,AMGN,yfinance
2024-06-04,291.258544921875,1830200,AMGN,AMGN,yfinance
2024-06-05,291.2680358886719,1748600,AMGN,AMGN,yfinance
2024-06-06,289.66656494140625,1927900,AMGN,AMGN,yfinance
2024-06-07,289.0317077636719,1925000,AMGN,AMGN,yfinance
2024-06-10,288.7474365234375,1992800,AMGN,AMGN,yfinance
2024-06-11,284.93817138671875,1740200,AMGN,AMGN,yfinance
2024-06-12,285.2981872558594,1640100,AMGN,AMGN,yfinance
2024-06-13,282.85345458984375,1732700,AMGN,AMGN,yfinance
2024-06-14,282.9671630859375,1713600,AMGN,AMGN,yfinance
2024-06-17,287.3829040527344,1875900,AMGN,AMGN,yfinance
2024-06-18,289.9508972167969,2166200,AMGN,AMGN,yfinance
2024-06-20,293.6464538574219,2890200,AMGN,AMGN,yfinance
2024-06-21,292.0071105957031,6596800,AMGN,AMGN,yfinance
2024-06-24,301.4734802246094,3389300,AMGN,AMGN,yfinance
2024-06-25,302.5726623535156,3150600,AMGN,AMGN,yfinance
2024-06-26,296.4228515625,2800200,AMGN,AMGN,yfinance
2024-06-27,297.24725341796875,2082200,AMGN,AMGN,yfinance
2024-06-28,296.072265625,3518100,AMGN,AMGN,yfinance
2024-07-01,294.7077331542969,1769400,AMGN,AMGN,yfinance
2024-07-02,294.48028564453125,1542700,AMGN,AMGN,yfinance
2024-07-03,293.1632080078125,1000700,AMGN,AMGN,yfinance
2024-07-05,294.5845642089844,1274400,AMGN,AMGN,yfinance
2024-07-08,295.1341552734375,1167200,AMGN,AMGN,yfinance
2024-07-09,299.3509216308594,1852500,AMGN,AMGN,yfinance
2024-07-10,304.8089599609375,2192100,AMGN,AMGN,yfinance
2024-07-11,308.0497741699219,2254000,AMGN,AMGN,yfinance
2024-07-12,313.4888000488281,2191300,AMGN,AMGN,yfinance
2024-07-15,312.8444519042969,1688800,AMGN,AMGN,yfinance
2024-07-16,315.67779541015625,1879400,AMGN,AMGN,yfinance
2024-07-17,318.07513427734375,1933200,AMGN,AMGN,yfinance
2024-07-18,313.6214904785156,2228400,AMGN,AMGN,yfinance
2024-07-19,313.92474365234375,1848700,AMGN,AMGN,yfinance
2024-07-22,318.359375,1733700,AMGN,AMGN,yfinance
2024-07-23,315.7724914550781,1458200,AMGN,AMGN,yfinance
2024-07-24,318.0182800292969,2459300,AMGN,AMGN,yfinance
2024-07-25,316.7769470214844,2435700,AMGN,AMGN,yfinance
2024-07-26,317.2981262207031,1515500,AMGN,AMGN,yfinance
2024-07-29,315.0807800292969,1611200,AMGN,AMGN,yfinance
2024-07-30,315.8103942871094,1584000,AMGN,AMGN,yfinance
2024-07-31,315.0428771972656,2120500,AMGN,AMGN,yfinance
2024-08-01,317.9424743652344,2387700,AMGN,AMGN,yfinance
2024-08-02,316.4831848144531,2106200,AMGN,AMGN,yfinance
2024-08-05,308.1728820800781,2974900,AMGN,AMGN,yfinance
2024-08-06,311.7073974609375,2436500,AMGN,AMGN,yfinance
2024-08-07,296.1196594238281,4618400,AMGN,AMGN,yfinance
2024-08-08,307.6706848144531,2746700,AMGN,AMGN,yfinance
2024-08-09,305.58599853515625,1786400,AMGN,AMGN,yfinance
2024-08-12,303.2265319824219,1828700,AMGN,AMGN,yfinance
2024-08-13,306.4956970214844,1632800,AMGN,AMGN,yfinance
2024-08-14,305.8133850097656,1656100,AMGN,AMGN,yfinance
2024-08-15,308.3340148925781,1886800,AMGN,AMGN,yfinance
2024-08-16,306.71185302734375,1442500,AMGN,AMGN,yfinance
2024-08-19,312.94268798828125,1214200,AMGN,AMGN,yfinance
2024-08-20,313.49609375,1352600,AMGN,AMGN,yfinance
2024-08-21,314.068603515625,1138200,AMGN,AMGN,yfinance
2024-08-22,309.6602783203125,2172000,AMGN,AMGN,yfinance
2024-08-23,313.734619140625,1771100,AMGN,AMGN,yfinance
2024-08-26,311.80718994140625,1769900,AMGN,AMGN,yfinance
2024-08-27,311.9502868652344,1444300,AMGN,AMGN,yfinance
2024-08-28,314.3930358886719,1444200,AMGN,AMGN,yfinance
2024-08-29,315.8434143066406,1294300,AMGN,AMGN,yfinance
2024-08-30,318.5341796875,2173400,AMGN,AMGN,yfinance
2024-09-03,315.3663330078125,2120500,AMGN,AMGN,yfinance
2024-09-04,315.4903564453125,1622100,AMGN,AMGN,yfinance
2024-09-05,309.4980773925781,1977400,AMGN,AMGN,yfinance
2024-09-06,305.8721923828125,2242400,AMGN,AMGN,yfinance
2024-09-09,310.9866027832031,1707800,AMGN,AMGN,yfinance
2024-09-10,313.8586730957031,1408400,AMGN,AMGN,yfinance
2024-09-11,314.8605651855469,1711000,AMGN,AMGN,yfinance
2024-09-12,314.9368896484375,1590000,AMGN,AMGN,yfinance
2024-09-13,317.2174072265625,1397000,AMGN,AMGN,yfinance
2024-09-16,319.898681640625,2360600,AMGN,AMGN,yfinance
2024-09-17,317.5513610839844,2014000,AMGN,AMGN,yfinance
2024-09-18,317.6658630371094,1366600,AMGN,AMGN,yfinance
2024-09-19,320.5570373535156,1626100,AMGN,AMGN,yfinance
2024-09-20,321.9215393066406,4068200,AMGN,AMGN,yfinance
2024-09-23,320.2326354980469,1677500,AMGN,AMGN,yfinance
2024-09-24,315.75750732421875,2101000,AMGN,AMGN,yfinance
2024-09-25,298.5249938964844,4249500,AMGN,AMGN,yfinance
2024-09-26,304.4790954589844,2555700,AMGN,AMGN,yfinance
2024-09-27,307.88555908203125,2432600,AMGN,AMGN,yfinance
2024-09-30,307.44659423828125,1966900,AMGN,AMGN,yfinance
2024-10-01,305.6432189941406,2097400,AMGN,AMGN,yfinance
2024-10-02,305.0802307128906,2614400,AMGN,AMGN,yfinance
2024-10-03,302.9333190917969,1525300,AMGN,AMGN,yfinance
2024-10-04,305.0133972167969,1467800,AMGN,AMGN,yfinance
2024-10-07,302.9046936035156,1262300,AMGN,AMGN,yfinance
2024-10-08,303.1241455078125,1453300,AMGN,AMGN,yfinance
2024-10-09,307.6374206542969,1379400,AMGN,AMGN,yfinance
2024-10-10,306.30157470703125,1254600,AMGN,AMGN,yfinance
2024-10-11,313.3052673339844,1567200,AMGN,AMGN,yfinance
2024-10-14,309.74615478515625,1613300,AMGN,AMGN,yfinance
2024-10-15,310.1947021484375,1956200,AMGN,AMGN,yfinance
2024-10-16,306.8931884765625,1776700,AMGN,AMGN,yfinance
2024-10-17,306.6069030761719,1635600,AMGN,AMGN,yfinance
2024-10-18,306.9217834472656,1552100,AMGN,AMGN,yfinance
2024-10-21,302.2272033691406,1533200,AMGN,AMGN,yfinance
2024-10-22,305.0133972167969,2106500,AMGN,AMGN,yfinance
2024-10-23,300.4715270996094,1526300,AMGN,AMGN,yfinance
2024-10-24,301.2253112792969,1326600,AMGN,AMGN,yfinance
2024-10-25,302.45623779296875,1604400,AMGN,AMGN,yfinance
2024-10-28,302.63751220703125,1816000,AMGN,AMGN,yfinance
2024-10-29,301.5211486816406,1466500,AMGN,AMGN,yfinance
2024-10-30,301.0822448730469,2223600,AMGN,AMGN,yfinance
2024-10-31,305.49053955078125,2713500,AMGN,AMGN,yfinance
2024-11-01,304.5935974121094,1826700,AMGN,AMGN,yfinance
2024-11-04,302.3894348144531,2090100,AMGN,AMGN,yfinance
2024-11-05,304.6603698730469,1472300,AMGN,AMGN,yfinance
2024-11-06,307.0458984375,2208600,AMGN,AMGN,yfinance
2024-11-07,307.1603088378906,2654700,AMGN,AMGN,yfinance
2024-11-08,310.37591552734375,1978100,AMGN,AMGN,yfinance
2024-11-11,307.0649108886719,2457000,AMGN,AMGN,yfinance
2024-11-12,285.1473693847656,6680300,AMGN,AMGN,yfinance
2024-11-13,287.6282958984375,3725600,AMGN,AMGN,yfinance
2024-11-14,282.3707275390625,3515600,AMGN,AMGN,yfinance
2024-11-15,270.6152038574219,5324700,AMGN,AMGN,yfinance
2024-11-18,268.114501953125,3174600,AMGN,AMGN,yfinance
2024-11-19,269.259033203125,3210300,AMGN,AMGN,yfinance
2024-11-20,276.8765869140625,4759200,AMGN,AMGN,yfinance
2024-11-21,278.8291015625,3553200,AMGN,AMGN,yfinance
2024-11-22,283.2822570800781,3053200,AMGN,AMGN,yfinance
2024-11-25,282.77252197265625,4695700,AMGN,AMGN,yfinance
2024-11-26,269.3167724609375,17010300,AMGN,AMGN,yfinance
2024-11-27,269.37451171875,6622800,AMGN,AMGN,yfinance
2024-11-29,272.0675354003906,2232800,AMGN,AMGN,yfinance
2024-12-02,267.4797058105469,4677800,AMGN,AMGN,yfinance
2024-12-03,267.6913146972656,5468800,AMGN,AMGN,yfinance
2024-12-04,267.6336364746094,4173900,AMGN,AMGN,yfinance
2024-12-05,263.8536682128906,3187000,AMGN,AMGN,yfinance
2024-12-06,262.1705322265625,3970200,AMGN,AMGN,yfinance
2024-12-09,267.02764892578125,3222100,AMGN,AMGN,yfinance
2024-12-10,265.219482421875,2791400,AMGN,AMGN,yfinance
2024-12-11,262.96881103515625,4493500,AMGN,AMGN,yfinance
2024-12-12,263.593994140625,3749200,AMGN,AMGN,yfinance
2024-12-13,260.28533935546875,2906300,AMGN,AMGN,yfinance
2024-12-16,256.32269287109375,3711100,AMGN,AMGN,yfinance
2024-12-17,255.79371643066406,4742500,AMGN,AMGN,yfinance
2024-12-18,248.89749145507812,4093600,AMGN,AMGN,yfinance
2024-12-19,251.21548461914062,4725800,AMGN,AMGN,yfinance
2024-12-20,253.32183837890625,13687600,AMGN,AMGN,yfinance
2024-12-23,253.9181671142578,3025700,AMGN,AMGN,yfinance
2024-12-24,254.38946533203125,1520600,AMGN,AMGN,yfinance
2024-12-26,253.12950134277344,1637300,AMGN,AMGN,yfinance
2024-12-27,252.61972045898438,2157400,AMGN,AMGN,yfinance
2024-12-30,249.3976287841797,3039300,AMGN,AMGN,yfinance
2024-12-31,250.6865234375,1966200,AMGN,AMGN,yfinance
2025-01-02,249.37844848632812,2357400,AMGN,AMGN,yfinance
2025-01-03,251.24435424804688,2979700,AMGN,AMGN,yfinance
2025-01-06,248.71478271484375,4668200,AMGN,AMGN,yfinance
2025-01-07,252.0522918701172,3173700,AMGN,AMGN,yfinance
2025-01-08,254.12014770507812,2421500,AMGN,AMGN,yfinance
2025-01-10,252.21580505371094,2721800,AMGN,AMGN,yfinance
2025-01-13,259.8717956542969,3365900,AMGN,AMGN,yfinance
2025-01-14,256.8998107910156,2942300,AMGN,AMGN,yfinance
2025-01-15,258.6695251464844,3737500,AMGN,AMGN,yfinance
2025-01-16,259.14080810546875,2684500,AMGN,AMGN,yfinance
2025-01-17,261.7184753417969,3244000,AMGN,AMGN,yfinance
2025-01-21,264.31536865234375,3928500,AMGN,AMGN,yfinance
2025-01-22,262.9977111816406,3518300,AMGN,AMGN,yfinance
2025-01-23,267.26812744140625,2496000,AMGN,AMGN,yfinance
2025-01-24,264.902099609375,2008600,AMGN,AMGN,yfinance
2025-01-27,272.14447021484375,3493200,AMGN,AMGN,yfinance
2025-01-28,269.595703125,2735500,AMGN,AMGN,yfinance
2025-01-29,270.9229736328125,2454900,AMGN,AMGN,yfinance
2025-01-30,273.173583984375,2556100,AMGN,AMGN,yfinance
2025-01-31,274.5201721191406,3799900,AMGN,AMGN,yfinance
2025-02-03,277.8384094238281,4473500,AMGN,AMGN,yfinance
2025-02-04,277.9826965332031,3262400,AMGN,AMGN,yfinance
2025-02-05,296.05511474609375,5890600,AMGN,AMGN,yfinance
2025-02-06,286.4081726074219,4624500,AMGN,AMGN,yfinance
2025-02-07,282.3301086425781,3388300,AMGN,AMGN,yfinance
2025-02-10,283.5323486328125,2375600,AMGN,AMGN,yfinance
2025-02-11,285.3309326171875,3506900,AMGN,AMGN,yfinance
2025-02-12,283.7920227050781,2629900,AMGN,AMGN,yfinance
2025-02-13,285.6290588378906,2061700,AMGN,AMGN,yfinance
2025-02-14,282.3034362792969,2189300,AMGN,AMGN,yfinance
2025-02-18,283.8935241699219,2162200,AMGN,AMGN,yfinance
2025-02-19,285.31878662109375,2806900,AMGN,AMGN,yfinance
2025-02-20,288.86749267578125,2319000,AMGN,AMGN,yfinance
2025-02-21,293.79296875,3261400,AMGN,AMGN,yfinance
2025-02-24,300.2988586425781,4286600,AMGN,AMGN,yfinance
2025-02-25,306.02911376953125,4365700,AMGN,AMGN,yfinance
2025-02-26,297.0604553222656,2786900,AMGN,AMGN,yfinance
2025-02-27,296.5174865722656,3249100,AMGN,AMGN,yfinance
2025-02-28,298.6893310546875,3173000,AMGN,AMGN,yfinance
2025-03-03,301.32659912109375,2970700,AMGN,AMGN,yfinance
2025-03-04,302.6937255859375,3820000,AMGN,AMGN,yfinance
2025-03-05,306.94049072265625,2629000,AMGN,AMGN,yfinance
2025-03-06,308.1524658203125,3076500,AMGN,AMGN,yfinance
2025-03-07,314.9783020019531,3944900,AMGN,AMGN,yfinance
2025-03-10,317.40228271484375,4120700,AMGN,AMGN,yfinance
2025-03-11,309.1899108886719,3080100,AMGN,AMGN,yfinance
2025-03-12,302.9942932128906,3182200,AMGN,AMGN,yfinance
2025-03-13,303.1300354003906,2062700,AMGN,AMGN,yfinance
2025-03-14,304.16748046875,2396800,AMGN,AMGN,yfinance
2025-03-17,307.52227783203125,2292900,AMGN,AMGN,yfinance
2025-03-18,308.95721435546875,2549300,AMGN,AMGN,yfinance
2025-03-19,306.1454162597656,1834300,AMGN,AMGN,yfinance
2025-03-20,305.45709228515625,2049700,AMGN,AMGN,yfinance
2025-03-21,306.4266357421875,9995000,AMGN,AMGN,yfinance
2025-03-24,304.8171081542969,2439400,AMGN,AMGN,yfinance
2025-03-25,297.52581787109375,2565300,AMGN,AMGN,yfinance
2025-03-26,296.4108581542969,2375200,AMGN,AMGN,yfinance
2025-03-27,296.468994140625,1736900,AMGN,AMGN,yfinance
2025-03-28,297.6131286621094,1768400,AMGN,AMGN,yfinance
2025-03-31,302.07318115234375,3336200,AMGN,AMGN,yfinance
2025-04-01,297.5840759277344,3042300,AMGN,AMGN,yfinance
2025-04-02,296.4011535644531,1912500,AMGN,AMGN,yfinance
2025-04-03,300.4248962402344,3280300,AMGN,AMGN,yfinance
2025-04-04,285.4352111816406,5253100,AMGN,AMGN,yfinance
2025-04-07,280.8781433105469,4923000,AMGN,AMGN,yfinance
2025-04-08,271.7349853515625,4097200,AMGN,AMGN,yfinance
2025-04-09,282.2355651855469,6055700,AMGN,AMGN,yfinance
2025-04-10,272.8500061035156,4679100,AMGN,AMGN,yfinance
2025-04-11,277.281005859375,3467100,AMGN,AMGN,yfinance
2025-04-14,284.9795227050781,2492700,AMGN,AMGN,yfinance
2025-04-15,286.3174743652344,2593600,AMGN,AMGN,yfinance
2025-04-16,274.0426025390625,2656300,AMGN,AMGN,yfinance
2025-04-17,268.8553466796875,4371800,AMGN,AMGN,yfinance
2025-04-21,265.3551330566406,1803600,AMGN,AMGN,yfinance
2025-04-22,269.9315490722656,2081000,AMGN,AMGN,yfinance
2025-04-23,269.44677734375,2679500,AMGN,AMGN,yfinance
2025-04-24,271.3277587890625,2260500,AMGN,AMGN,yfinance
2025-04-25,272.2973327636719,1994600,AMGN,AMGN,yfinance
2025-04-28,274.4788818359375,2082400,AMGN,AMGN,yfinance
2025-04-29,279.78253173828125,2147700,AMGN,AMGN,yfinance
2025-04-30,282.0707702636719,2612300,AMGN,AMGN,yfinance
2025-05-01,275.1479187011719,2942700,AMGN,AMGN,yfinance
2025-05-02,272.6657409667969,4537000,AMGN,AMGN,yfinance
2025-05-05,271.5410461425781,2781400,AMGN,AMGN,yfinance
2025-05-06,262.21368408203125,3253400,AMGN,AMGN,yfinance
2025-05-07,267.4494323730469,2363400,AMGN,AMGN,yfinance
2025-05-08,263.7746887207031,3618000,AMGN,AMGN,yfinance
2025-05-09,257.77301025390625,3328900,AMGN,AMGN,yfinance
2025-05-12,266.40228271484375,4216800,AMGN,AMGN,yfinance
2025-05-13,262.2233581542969,2660700,AMGN,AMGN,yfinance
2025-05-14,254.3019256591797,3933000,AMGN,AMGN,yfinance
2025-05-15,263.4256591796875,3995100,AMGN,AMGN,yfinance
2025-05-16,266.4579162597656,2589300,AMGN,AMGN,yfinance
2025-05-19,269.8227844238281,2189400,AMGN,AMGN,yfinance
2025-05-20,269.0011291503906,2188300,AMGN,AMGN,yfinance
2025-05-21,265.41131591796875,2559700,AMGN,AMGN,yfinance
2025-05-22,265.9590759277344,1919800,AMGN,AMGN,yfinance
2025-05-23,265.7243347167969,2532000,AMGN,AMGN,yfinance
2025-05-27,273.3441162109375,2917100,AMGN,AMGN,yfinance
2025-05-28,272.3170471191406,3863800,AMGN,AMGN,yfinance
2025-05-29,277.3447570800781,2801900,AMGN,AMGN,yfinance
2025-05-30,281.88336181640625,5439200,AMGN,AMGN,yfinance
2025-06-02,282.16705322265625,2394000,AMGN,AMGN,yfinance
2025-06-03,283.2430114746094,2320400,AMGN,AMGN,yfinance
