symbol,latest_close,moving_average,avg_dollar_volume,asset_name,published_count,buy_count,sell_count,net_notional,recency_weighted_net_notional,delay_weighted_net_notional,latest_published_at,unique_politicians,avg_filing_delay_days,politician_avg_forward_return,politician_hit_rate,latest_known_published_at,is_leveraged_or_inverse_etf,days_since_latest_disclosure,above_moving_average,buy_score,sell_risk,score,passes_buy_filters,rank,is_buyable,hard_sell,buy_reason,sell_reason,signal_date
FDX,387.9800109863281,369.66254760742186,674140821.2478638,FedEx Corp,2,2,0,40500.0,39600.0,13307.134712102736,2026-04-22,1,31.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,True,10.072738359241983,0.5166666666666667,9.556071692575316,True,1.0,True,False,"positive 45d net Capitol flow, >=2 buys, and close above 50d MA",ranked below stronger candidate set,2026-04-24
BA,232.44000244140625,218.59360076904298,1478509223.1479187,Boeing Co,2,2,0,40500.0,39600.0,12749.547552891965,2026-04-22,1,34.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,True,10.029937094503435,0.5666666666666667,9.463270427836768,True,2.0,True,False,"positive 45d net Capitol flow, >=2 buys, and close above 50d MA",ranked below stronger candidate set,2026-04-24
C,127.9800033569336,115.8175993347168,1660938722.195633,Citigroup Inc,2,2,0,40500.0,39600.0,12749.547552891965,2026-04-22,1,34.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,True,10.029937094503435,0.5666666666666667,9.463270427836768,True,3.0,True,False,"positive 45d net Capitol flow, >=2 buys, and close above 50d MA",ranked below stronger candidate set,2026-04-24
IBIT,44.02000045776367,39.98569961547852,2146335659.771164,ISHARES BITCOIN TRUST ETF,1,1,0,175000.0,151666.6666666667,34988.46597533604,2026-04-17,1,44.0,0.0018207062711663724,1.0,2026-04-17,False,7.0,True,11.066443735579425,0.7333333333333333,10.333110402246092,False,,False,False,,ranked below stronger candidate set,2026-04-24
CSCO,89.01000213623047,80.17946731567383,1834016419.606781,Cisco Systems Inc,2,2,0,40500.0,39600.0,12749.547552891965,2026-04-22,1,34.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,True,10.029937094503435,0.5666666666666667,9.463270427836768,True,4.0,False,False,,ranked below stronger candidate set,2026-04-24
FMAO,26.639999389648438,26.06889492034912,1170221.333808899,Farmers & Merchants Bancorp Inc,1,1,0,8000.0,8177.777777777777,7156.972920173437,2026-04-24,1,4.0,0.0,0.5,2026-04-24,False,0.0,True,9.225982108163386,0.06666666666666667,9.15931544149672,False,,False,False,,ranked below stronger candidate set,2026-04-24
TSM,402.4599914550781,356.5548474121094,4753107764.445007,Taiwan Semiconductor Manufacturing Co Ltd,1,1,0,8000.0,7644.444444444445,5124.224351916888,2026-04-21,1,12.0,0.0934036245843608,1.0,2026-04-21,False,3.0,True,9.328736828200972,0.2,9.128736828200973,False,,False,False,,ranked below stronger candidate set,2026-04-24
GLW,175.88999938964844,146.10286880493163,1772353533.5646057,Corning Inc,1,1,0,32500.0,31777.777777777777,10231.1184066417,2026-04-22,1,34.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,True,9.559894514895225,0.5666666666666667,8.993227848228559,False,,False,False,,ranked below stronger candidate set,2026-04-24
GS,926.9099731445312,868.6888610839844,2000241058.378662,The Goldman Sachs Group Inc,1,1,0,32500.0,31777.777777777777,10231.1184066417,2026-04-22,1,34.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,True,9.559894514895225,0.5666666666666667,8.993227848228559,False,,False,False,,ranked below stronger candidate set,2026-04-24
CARR,60.970001220703125,60.03180015563965,389946686.28860474,Carrier Global Corp,1,1,0,8000.0,6755.555555555556,5004.63864638316,2026-04-16,1,9.0,0.03471943403214317,0.8,2026-04-16,False,8.0,True,9.087759153348165,0.15,8.937759153348164,False,,False,False,,ranked below stronger candidate set,2026-04-24
CASY,799.5499877929688,705.7511950683594,457174141.25268555,Casey's General Stores Inc.,1,1,0,8000.0,6755.555555555556,5004.63864638316,2026-04-16,1,9.0,0.03471943403214317,0.8,2026-04-16,False,8.0,True,9.087759153348165,0.15,8.937759153348164,False,,False,False,,ranked below stronger candidate set,2026-04-24
DMLP,28.110000610351562,27.10199993133545,4714272.261909485,Dorchester Minerals LP,1,1,0,32500.0,27444.444444444445,8835.965896645106,2026-04-16,1,34.0,0.00015157652482072903,0.5,2026-04-16,False,8.0,True,9.437002025404954,0.5666666666666667,8.870335358738288,False,,False,False,,ranked below stronger candidate set,2026-04-24
EPD,38.0,37.298399963378905,165344093.2693634,Enterprise Products Partners LP,1,1,0,32500.0,27444.444444444445,8835.965896645106,2026-04-16,1,34.0,0.00015157652482072903,0.5,2026-04-16,False,8.0,True,9.437002025404954,0.5666666666666667,8.870335358738288,False,,False,False,,ranked below stronger candidate set,2026-04-24
UHAL,52.59000015258789,49.126800003051756,11172738.75466156,Amerco,1,1,0,32500.0,27444.444444444445,8835.965896645106,2026-04-16,1,34.0,0.00015157652482072903,0.5,2026-04-16,False,8.0,True,9.437002025404954,0.5666666666666667,8.870335358738288,False,,False,False,,ranked below stronger candidate set,2026-04-24
URI,974.4099731445312,798.2665991210938,485087708.56433105,United Rentals Inc,1,1,0,8000.0,7822.222222222222,3076.016305461035,2026-04-22,1,28.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,True,8.358323273964485,0.4666666666666667,7.8916566072978185,False,,False,False,,ranked below stronger candidate set,2026-04-24
PTON,5.179999828338623,4.309399991035462,53979842.32936764,Peloton Interactive Inc,1,1,0,8000.0,7822.222222222222,2518.4291462502647,2026-04-22,1,34.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,True,8.158395225092198,0.5666666666666667,7.591728558425531,False,,False,False,,ranked below stronger candidate set,2026-04-24
WHR,53.79999923706055,61.289921798706054,183417482.3569641,Whirlpool Corp,2,2,0,40500.0,39600.0,12749.547552891965,2026-04-22,1,34.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,False,10.029937094503435,2.5666666666666664,7.463270427836768,False,,False,True,,latest close fell below 50d MA,2026-04-24
AMGN,344.54998779296875,361.05920043945315,931559279.8843994,Amgen Inc,1,1,0,32500.0,31777.777777777777,12086.638264947549,2026-04-22,1,29.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,False,9.726546177882234,2.4833333333333334,7.243212844548901,False,,False,True,,latest close fell below 50d MA,2026-04-24
HON,213.1699981689453,232.74914306640625,897792134.8510132,Honeywell International Inc,1,1,0,32500.0,31777.777777777777,12086.638264947549,2026-04-22,1,29.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,False,9.726546177882234,2.4833333333333334,7.243212844548901,False,,False,True,,latest close fell below 50d MA,2026-04-24
RH,137.50999450683594,147.3456005859375,199106823.51342773,RH,1,1,0,32500.0,31777.777777777777,10231.1184066417,2026-04-22,1,34.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,False,9.559894514895225,2.5666666666666664,6.993227848228559,False,,False,True,,latest close fell below 50d MA,2026-04-24
ULTA,558.5499877929688,589.1205993652344,414155452.3578491,Ulta Beauty Inc,1,1,0,32500.0,31777.777777777777,10231.1184066417,2026-04-22,1,34.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,False,9.559894514895225,2.5666666666666664,6.993227848228559,False,,False,True,,latest close fell below 50d MA,2026-04-24
B,41.09000015258789,43.53489318847656,590056730.6444321,Berkshire Hathaway Inc,1,1,0,32500.0,27444.444444444445,8835.965896645106,2026-04-16,1,34.0,0.00015157652482072903,0.5,2026-04-16,False,8.0,False,9.437002025404954,2.5666666666666664,6.870335358738288,False,,False,True,,latest close fell below 50d MA,2026-04-24
GE,284.6000061035156,309.3033508300781,1802492233.602356,General Electric Co,1,1,0,8000.0,7822.222222222222,2975.172495987089,2026-04-22,1,29.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,False,8.32500095614861,2.4833333333333334,5.841667622815277,False,,False,True,,latest close fell below 50d MA,2026-04-24
NVR,6503.9501953125,6898.42123046875,175927965.2705078,NVR Inc,1,1,0,8000.0,7822.222222222222,2518.4291462502647,2026-04-22,1,34.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,False,8.158395225092198,2.5666666666666664,5.591728558425531,False,,False,True,,latest close fell below 50d MA,2026-04-24
VG,11.899999618530273,12.675049991607667,374165167.26592445,VENTURE GLOBAL INC,1,1,0,8000.0,7822.222222222222,2518.4291462502647,2026-04-22,1,34.0,0.006160942614206358,0.42857142857142855,2026-04-22,False,2.0,False,8.158395225092198,2.5666666666666664,5.591728558425531,False,,False,True,,latest close fell below 50d MA,2026-04-24
IE00B5BMR087,767.469970703125,729.7446032714844,114913011.54730347,IE00B5BMR087,0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0.5,,False,,True,0.0,0.0,0.0,False,,False,False,,no fresh Capitol disclosures; retain only if no stronger candidate competes,2026-04-24
SPY,713.9400024414062,676.0695678710938,55827768119.34655,SPY,0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0.5,,False,,True,0.0,0.0,0.0,False,,False,False,,no fresh Capitol disclosures; retain only if no stronger candidate competes,2026-04-24
VOO,656.4199829101562,621.4977941894531,6489007264.25769,VOO,0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0.5,,False,,True,0.0,0.0,0.0,False,,False,False,,no fresh Capitol disclosures; retain only if no stronger candidate competes,2026-04-24
AXP,314.0799865722656,313.8836114501953,1175502221.1722412,American Express Co,1,0,1,-8000.0,-6755.555555555556,-5004.63864638316,2026-04-16,1,9.0,0.03471943403214317,0.8,2026-04-16,False,8.0,True,-8.44888141721959,2.65,-11.09888141721959,False,,False,True,,net disclosure flow turned negative,2026-04-24
SBUX,98.66999816894531,96.14400009155274,721104776.611023,Starbucks Corp,1,0,1,-8000.0,-7466.666666666667,-6320.396879183252,2026-04-20,1,5.0,0.002829699726452084,1.0,2026-04-20,False,4.0,True,-8.646036088452755,2.5833333333333335,-11.229369421786089,False,,False,True,,net disclosure flow turned negative,2026-04-24
NVDA,208.27000427246094,185.0215884399414,32063471152.655365,NVIDIA Corporation,1,0,1,-8000.0,-7644.444444444445,-3107.999176683691,2026-04-21,1,27.0,-0.04197518103207676,0.0,2026-04-21,False,3.0,True,-8.526006507305791,2.95,-11.47600650730579,False,,False,True,,net disclosure flow turned negative,2026-04-24
GEHC,68.83000183105469,74.78926971435547,257154072.77035522,GE HEALTHCARE TECHNOLOGI INC,1,0,1,-8000.0,-7644.444444444445,-3107.999176683691,2026-04-21,1,27.0,0.03904935733053472,1.0,2026-04-21,False,3.0,False,-7.863957430580568,4.95,-12.813957430580569,False,,False,True,,net disclosure flow turned negative,2026-04-24
MU,496.7200012207031,414.69859313964844,17076373656.355103,Micron Technology Inc,1,0,1,-32500.0,-31055.55555555556,-12212.30905364147,2026-04-21,1,28.0,-0.10534513290202074,0.0,2026-04-21,False,3.0,True,-10.020971807955986,2.966666666666667,-12.987638474622653,False,,False,True,,net disclosure flow turned negative,2026-04-24
AWK,132.4199981689453,134.93839965820314,265719364.6704712,American Water Works Company Inc,1,0,1,-8000.0,-6755.555555555556,-5004.63864638316,2026-04-16,1,9.0,0.03471943403214317,0.8,2026-04-16,False,8.0,False,-8.44888141721959,4.65,-13.09888141721959,False,,False,True,,net disclosure flow turned negative,2026-04-24
BR,155.07000732421875,170.4664566040039,265587400.51635742,Broadridge Financial Solutions Inc,1,0,1,-8000.0,-6755.555555555556,-5004.63864638316,2026-04-16,1,9.0,0.03471943403214317,0.8,2026-04-16,False,8.0,False,-8.44888141721959,4.65,-13.09888141721959,False,,False,True,,net disclosure flow turned negative,2026-04-24
TPR,145.88999938964844,148.2086068725586,288302307.79589844,Tapestry Inc,1,0,1,-32500.0,-31055.55555555556,-12626.246655277495,2026-04-21,1,27.0,0.03904935733053472,1.0,2026-04-21,False,3.0,False,-9.26551347654402,4.95,-14.215513476544022,False,,False,True,,net disclosure flow turned negative,2026-04-24
VZ,46.380001068115234,48.48858535766602,1316118220.577652,Verizon Communications Inc,1,0,1,-175000.0,-151666.6666666667,-108673.91543702473,2026-04-17,1,10.0,0.0036519478352637913,1.0,2026-04-17,False,7.0,False,-11.488812382058946,4.666666666666667,-16.155479048725613,False,,False,True,,net disclosure flow turned negative,2026-04-24
